tank,date,dispersal,wattage,metacommunity,temp_mean,temp_max,temp_sd,temp_min,dispersal_date
38,2018-06-19,high,300,10,28.058194444444446,31.66,2.2858836037818833,24.62,NA
39,2018-06-19,high,100,10,26.33076388888889,30.16,2.4217219441197058,22.65,NA
40,2018-06-19,high,0,10,25.215555555555554,28.78,2.3540718414386244,21.62,NA
41,2018-06-19,none,0,11,24.42534722222222,27.93,2.260223676410106,21.23,NA
42,2018-06-19,none,100,11,25.49423611111111,29.17,2.3654626182645857,22.18,NA
43,2018-06-19,none,300,11,28.15222222222222,31.96,2.3834755854331435,24.71,NA
44,2018-06-19,none,200,11,26.873194444444444,31.19,2.644444408124555,23.03,NA
45,2018-06-19,low,100,12,26.293194444444445,29.77,2.246141883436654,22.86,NA
46,2018-06-19,low,200,12,27.046458333333334,31.01,2.4744234247527306,23.46,NA
47,2018-06-19,low,0,12,25.66138888888889,29.47,2.406940608420384,21.92,NA
48,2018-06-19,low,300,12,28.112569444444443,32.09,2.437717247705141,24.58,NA
1,2018-06-20,high,100,1,27.544375,31.53,2.41937798130709,24.24,NA
2,2018-06-20,high,200,1,27.734236111111112,31.79,2.4186370142703835,24.36,NA
3,2018-06-20,high,0,1,26.397291666666668,29.9,2.1285666797495115,23.46,NA
4,2018-06-20,high,300,1,28.638055555555557,32.56,2.3325682228767746,25.44,NA
5,2018-06-20,none,200,2,28.124305555555555,32.09,2.3657931305911206,24.92,NA
6,2018-06-20,none,300,2,28.681041666666665,32.47,2.2557667261326637,25.57,NA
7,2018-06-20,none,100,2,27.248958333333334,31.1,2.2736424424903983,24.15,NA
8,2018-06-20,none,0,2,26.165277777777778,29.56,2.1653543273236737,23.21,NA
9,2018-06-20,low,0,3,25.939166666666665,29.94,2.2940291911983,22.82,NA
10,2018-06-20,low,100,3,27.01159722222222,30.76,2.2663974874018287,23.94,NA
11,2018-06-20,low,300,3,29.22659722222222,33.25,2.344162863143958,26.04,NA
12,2018-06-20,low,200,3,28.08416666666667,32.17,2.3629472233673736,24.92,NA
13,2018-06-20,none,300,4,28.575972222222223,32.56,2.388682031032352,25.31,NA
14,2018-06-20,none,0,4,25.643958333333334,29.21,2.2590616960374263,22.56,NA
15,2018-06-20,none,200,4,27.763958333333335,31.53,2.2858492075485533,24.66,NA
16,2018-06-20,none,100,4,26.865694444444443,30.46,2.18602735533904,23.85,NA
17,2018-06-20,low,0,5,26.142916666666668,29.81,2.1580990323816085,23.29,NA
18,2018-06-20,low,100,5,26.646805555555556,29.98,2.181252175434113,23.68,NA
19,2018-06-20,low,300,5,28.484305555555554,32.3,2.274540344796895,25.44,NA
20,2018-06-20,low,200,5,27.54,31.57,2.402903837681994,24.32,NA
21,2018-06-20,high,100,6,27.299583333333334,31.27,2.4065690620361693,24.06,NA
22,2018-06-20,high,200,6,27.880694444444444,31.92,2.3270545183037146,24.75,NA
23,2018-06-20,high,0,6,25.927569444444444,29.73,2.2707939668536614,22.86,NA
24,2018-06-20,high,300,6,28.937638888888888,32.77,2.351646941447279,25.69,NA
25,2018-06-20,low,200,7,27.94090277777778,32.04,2.3878348191089085,24.79,NA
26,2018-06-20,low,300,7,28.83416666666667,33.07,2.463518008665855,25.52,NA
27,2018-06-20,low,100,7,27.646805555555556,31.57,2.386364134014081,24.41,NA
28,2018-06-20,low,0,7,26.282708333333332,30.11,2.346496635367332,23.03,NA
29,2018-06-20,high,100,8,26.96361111111111,30.84,2.3466630410281377,23.85,NA
30,2018-06-20,high,200,8,27.526180555555555,31.36,2.3069936227834114,24.49,NA
31,2018-06-20,high,0,8,25.541875,29.17,2.193054825302645,22.65,NA
32,2018-06-20,high,300,8,28.501597222222223,32.22,2.257852393545951,25.52,NA
33,2018-06-20,none,0,9,25.462847222222223,29.08,2.199427981323143,22.61,NA
34,2018-06-20,none,100,9,26.73361111111111,30.24,2.160149117849092,23.85,NA
35,2018-06-20,none,300,9,28.63951388888889,32.43,2.244275493186217,25.61,NA
36,2018-06-20,none,200,9,27.657430555555557,31.27,2.1880910179505912,24.71,NA
37,2018-06-20,high,200,10,27.799166666666668,31.66,2.279876852274802,24.71,NA
38,2018-06-20,high,300,10,28.533055555555556,32.34,2.23434453327939,25.57,NA
39,2018-06-20,high,100,10,26.698194444444443,30.71,2.3344428223022065,23.55,NA
40,2018-06-20,high,0,10,25.6975,29.43,2.2514363713562355,22.73,NA
41,2018-06-20,none,0,11,25.189791666666668,28.65,2.165353204848634,22.39,NA
42,2018-06-20,none,100,11,26.197222222222223,29.94,2.244241876585856,23.29,NA
43,2018-06-20,none,300,11,28.749444444444446,32.56,2.2492885519423673,25.78,NA
44,2018-06-20,none,200,11,27.49284722222222,31.96,2.5350788358093426,24.24,NA
45,2018-06-20,low,100,12,26.849097222222223,30.37,2.131115441604883,24.02,NA
46,2018-06-20,low,200,12,27.530069444444443,31.57,2.338552985303907,24.54,NA
47,2018-06-20,low,0,12,26.05388888888889,29.86,2.2793607590913454,23.03,NA
48,2018-06-20,low,300,12,28.566666666666666,32.73,2.3667008106798644,25.44,NA
1,2018-06-21,high,100,1,25.83770833333333,28.74,1.8207078922828281,23.12,TRUE
2,2018-06-21,high,200,1,25.94763888888889,28.83,1.7809983788117898,23.34,TRUE
3,2018-06-21,high,0,1,24.849166666666665,27.5,1.6266484914342476,22.35,TRUE
4,2018-06-21,high,300,1,26.786666666666665,29.51,1.7067631820028697,24.24,TRUE
5,2018-06-21,none,200,2,26.245277777777776,29.13,1.7516010436187275,23.72,TRUE
6,2018-06-21,none,300,2,26.801041666666666,29.34,1.6185004363877737,24.41,TRUE
7,2018-06-21,none,100,2,25.406666666666666,28.05,1.6669250615547058,22.95,TRUE
8,2018-06-21,none,0,2,24.530277777777776,27.02,1.6103485026298812,22.05,TRUE
9,2018-06-21,low,0,3,24.325416666666666,27.24,1.6890030472756097,21.88,TRUE
10,2018-06-21,low,100,3,25.280347222222222,27.84,1.5846176716504572,22.91,TRUE
11,2018-06-21,low,300,3,28.19423611111111,33.33,2.6558489561960092,24.75,TRUE
12,2018-06-21,low,200,3,27.135347222222222,32.3,2.6318482200573046,23.68,TRUE
13,2018-06-21,none,300,4,26.878055555555555,29.73,1.7358294515890333,24.36,TRUE
14,2018-06-21,none,0,4,24.281875,26.98,1.7012923794837587,21.79,TRUE
15,2018-06-21,none,200,4,26.165555555555557,28.91,1.7172069441973754,23.72,TRUE
16,2018-06-21,none,100,4,25.416666666666668,28.1,1.6830117858555453,22.91,TRUE
17,2018-06-21,low,0,5,24.829166666666666,27.67,1.6922561180952398,22.35,TRUE
18,2018-06-21,low,100,5,25.281041666666667,27.71,1.6230906884296796,22.86,TRUE
19,2018-06-21,low,300,5,26.79659722222222,29.51,1.6715451430658153,24.32,TRUE
20,2018-06-21,low,200,5,25.966875,28.91,1.766976188690329,23.38,TRUE
21,2018-06-21,high,100,6,25.65736111111111,28.53,1.8140793523600052,22.95,TRUE
22,2018-06-21,high,200,6,26.2575,29.08,1.6845665126863754,23.81,TRUE
23,2018-06-21,high,0,6,24.500694444444445,27.32,1.6866044229188661,22.01,TRUE
24,2018-06-21,high,300,6,27.020416666666666,29.68,1.6483769830720387,24.58,TRUE
25,2018-06-21,low,200,7,26.16701388888889,29.04,1.6744760499224205,23.85,TRUE
26,2018-06-21,low,300,7,26.877847222222222,29.73,1.7080939211965467,24.45,TRUE
27,2018-06-21,low,100,7,25.782430555555557,28.57,1.7492316980907028,23.25,TRUE
28,2018-06-21,low,0,7,24.65861111111111,27.5,1.7388991015783766,22.09,TRUE
29,2018-06-21,high,100,8,25.613958333333333,28.57,1.8067396044399284,22.99,TRUE
30,2018-06-21,high,200,8,26.271527777777777,29.13,1.7322087922425227,23.81,TRUE
31,2018-06-21,high,0,8,24.52423611111111,27.45,1.7437695603278633,22.01,TRUE
32,2018-06-21,high,300,8,27.099097222222223,29.77,1.6493732283585172,24.66,TRUE
